type,gender,vage,age,ageg,region,ee,num,cost
B,F,1,40,4,TJ,11.977,6,6333.35
B,F,1,40,4,CQ,42.904,24,23124.28
B,F,1,41,5,BJ,395.836,316,940404.27
B,F,1,41,5,SH,38.028,18,318970
B,F,1,41,5,SZ,15.682,15,50166.93
B,F,1,41,5,TJ,12.597,8,20819.9
B,F,1,41,5,CQ,52.986,34,68180.16
B,F,1,42,5,BJ,338.112,263,928013.1
B,F,1,42,5,SH,36.078,32,97508.75
B,F,1,42,5,SZ,9.953,7,98967.85
B,F,1,42,5,TJ,11.598,11,74090.25
B,F,1,42,5,CQ,46.593,41,39055.11
B,F,1,43,5,BJ,274.115,206,632057.64
B,F,1,43,5,SH,28.877,19,34691.25
B,F,1,43,5,SZ,10.604,5,17394.4
B,F,1,43,5,TJ,7.085,3,4505
B,F,1,43,5,CQ,18.803,19,28509.43
B,F,1,44,5,BJ,225.014,150,450818.46
B,F,1,44,5,SH,20.368,11,11591.5
B,F,1,44,5,SZ,5.102,5,6953
B,F,1,44,5,TJ,3.736,2,1020
B,F,1,44,5,CQ,26.619,31,40925.78
B,F,1,45,5,BJ,270.079,202,436044.79
B,F,1,45,5,SH,20.588,13,16480
B,F,1,45,5,SZ,13.084,8,9370.5
B,F,1,45,5,TJ,8.152,6,7624.5
B,F,1,45,5,CQ,28.743,26,47166.5
B,F,1,46,5,BJ,282.479,191,517975.43
B,F,1,46,5,SH,21.838,15,44932
B,F,1,46,5,SZ,9.526,8,12406.6
B,F,1,46,5,TJ,9.293,11,12029.05
B,F,1,46,5,CQ,29.831,16,20401.81
B,F,1,47,5,BJ,303.844,209,575303.19
B,F,1,47,5,SH,24.424,21,367933.5
B,F,1,47,5,SZ,7.896,10,50796
B,F,1,47,5,TJ,7.932,5,18633.7
B,F,1,47,5,CQ,26.436,19,32184.4
B,F,1,48,5,BJ,210.06,167,580944.1
B,F,1,48,5,SH,11.689,10,11245.5
B,F,1,48,5,SZ,11.292,6,6036.05
B,F,1,48,5,TJ,5.997,4,15566.9
B,F,1,48,5,CQ,21.553,10,16020.8
B,F,1,49,5,BJ,170.711,125,263403.36
B,F,1,49,5,SH,13.986,10,9487.4
B,F,1,49,5,SZ,4.164,2,2167.5
B,F,1,49,5,TJ,5.484,3,3867.5
B,F,1,49,5,CQ,11.253,14,12864.75
B,F,1,50,5,BJ,155.026,123,274817.1
B,F,1,50,5,SH,10.002,4,2975
B,F,1,50,5,SZ,3.312,3,2557.5
B,F,1,50,5,TJ,1.271,1,425
B,F,1,50,5,CQ,7.394,6,4683.5
B,F,1,51,6,BJ,124.311,87,175777.75
B,F,1,51,6,SH,12.47,16,82602.5
B,F,1,51,6,SZ,0.497,0,0
B,F,1,51,6,TJ,4.463,4,2380
B,F,1,51,6,CQ,10.98,6,5561.25
B,F,1,52,6,BJ,139.815,119,345164.3
B,F,1,52,6,SH,13.662,16,34505
B,F,1,52,6,SZ,3.274,2,1122
B,F,1,52,6,TJ,4.052,5,2728.5
B,F,1,52,6,CQ,12.593,6,7775.3
B,F,1,53,6,BJ,142.525,106,295404.68
B,F,1,53,6,SH,8.357,7,5957.5
B,F,1,53,6,SZ,1,1,1870
B,F,1,53,6,TJ,3.806,0,0
B,F,1,53,6,CQ,11.02,10,10083.55
B,F,1,54,6,BJ,114.362,84,602364.26
B,F,1,54,6,SH,8.362,5,2082.5
B,F,1,54,6,SZ,2.258,2,4779.55
B,F,1,54,6,TJ,2.455,2,2575.5
B,F,1,54,6,CQ,6.091,3,1880.2
B,F,1,55,6,BJ,107.124,65,94657.9
B,F,1,55,6,SH,15.732,13,17646
B,F,1,55,6,SZ,3.374,6,9551.45
B,F,1,55,6,TJ,2.881,0,0
B,F,1,55,6,CQ,7.332,3,1785
B,F,1,56,6,BJ,74.817,62,158354.15
B,F,1,56,6,SH,13.562,7,10750.75
B,F,1,56,6,SZ,1.377,4,6043.5
B,F,1,56,6,TJ,1.56,0,0
B,F,1,56,6,CQ,6.005,4,9167.25
B,F,1,57,6,BJ,59.073,37,156288.95
B,F,1,57,6,SH,5.442,4,16447.5
B,F,1,57,6,TJ,1.101,0,0
B,F,1,57,6,CQ,3.647,1,756.5
B,F,1,58,6,BJ,55.161,40,163760.92
B,F,1,58,6,SH,3.016,5,2674.58
B,F,1,58,6,SZ,0.811,0,0
B,F,1,58,6,TJ,0.186,0,0
B,F,1,58,6,CQ,3.229,6,5718.3
B,F,1,59,6,BJ,47.973,43,162746.45
B,F,1,59,6,SH,5.107,7,6327
B,F,1,59,6,TJ,1,0,0
B,F,1,59,6,CQ,3.033,1,763.3
B,F,1,60,6,BJ,22.366,21,72807.82
B,F,1,60,6,SH,2.644,5,22702.5
B,F,1,60,6,CQ,1.474,0,0
B,F,1,61,7,BJ,22.434,18,55188.8
B,F,1,61,7,SH,3.584,4,3456.5
B,F,1,61,7,CQ,0.266,1,289
B,F,1,62,7,BJ,20.524,13,33959.2
B,F,1,62,7,SH,10.518,8,10125
B,F,1,62,7,CQ,1,0,0
B,F,1,63,7,BJ,16.913,14,25102.2
B,F,1,63,7,SH,2.647,3,1623
B,F,1,63,7,CQ,1.353,2,875.5
B,F,1,64,7,BJ,11.339,9,20961.85
B,F,1,64,7,SH,0.192,0,0
B,F,1,65,7,BJ,15.494,10,18672.85
B,F,1,65,7,SH,0.896,0,0
B,F,1,66,7,BJ,4.547,4,53584
B,F,1,66,7,SH,2,3,3187.5
B,F,1,66,7,TJ,0.448,0,0
B,F,1,66,7,CQ,1.953,0,0
B,F,1,67,7,BJ,9.285,11,43023.6
B,F,1,67,7,CQ,1,0,0
B,F,1,68,7,BJ,4.988,7,16154.25
B,F,1,68,7,SH,2.896,3,7293
B,F,1,69,7,BJ,1.296,4,2890
B,F,1,69,7,SH,2.441,1,850
B,F,1,70,7,BJ,17.603,20,27833.7
B,F,1,70,7,SH,1,0,0
B,F,1,70,7,CQ,5.677,1,2018.75
B,M,1,18,1,BJ,66.741,55,138878.75
B,M,1,18,1,SH,5.914,6,3576
B,M,1,18,1,SZ,3.89,4,8908
B,M,1,18,1,TJ,3,3,1878.5
B,M,1,18,1,CQ,2.123,4,7376.47
B,M,1,19,1,BJ,94.263,97,179787.56
B,M,1,19,1,SH,13.011,14,16873
B,M,1,19,1,SZ,7.007,9,10489.75
B,M,1,19,1,TJ,7.191,6,43923.92
B,M,1,19,1,CQ,4.258,1,5372
B,M,1,20,1,BJ,210.855,198,953413.75
B,M,1,20,1,SH,29.25,30,37487.5
B,M,1,20,1,SZ,6.086,4,230921
B,M,1,20,1,TJ,5.258,4,2335.8
B,M,1,20,1,CQ,9.386,4,14220.5
B,M,1,21,2,BJ,311.024,259,796888.58
B,M,1,21,2,SH,40.165,23,32941
B,M,1,21,2,SZ,6.757,8,12295.7
B,M,1,21,2,TJ,5.198,8,5678
B,M,1,21,2,CQ,17.253,11,21502.79
B,M,1,22,2,BJ,474.221,439,1559911.66
B,M,1,22,2,SH,78.609,75,184894.41
B,M,1,22,2,SZ,17.51,12,50129.75
B,M,1,22,2,TJ,14.004,10,7852.97
B,M,1,22,2,CQ,33.104,14,89379.55
B,M,1,23,2,BJ,591.674,545,1529451.97
B,M,1,23,2,SH,113.01,121,340099.75
B,M,1,23,2,SZ,17.657,18,26010.85
B,M,1,23,2,TJ,23.644,16,15263.45
B,M,1,23,2,CQ,41.806,35,83263.38
B,M,1,24,2,BJ,682.425,672,1600962.93
B,M,1,24,2,SH,114.892,119,473098.63
B,M,1,24,2,SZ,27.399,29,63642.05
B,M,1,24,2,TJ,22.439,18,59765.05
B,M,1,24,2,CQ,51.981,36,60236.1
B,M,1,25,2,BJ,785.73,699,1813992.56
B,M,1,25,2,SH,104.418,92,145557
B,M,1,25,2,SZ,33.441,45,61595.29
B,M,1,25,2,TJ,23.556,15,26715.8
B,M,1,25,2,CQ,61.518,35,45793.7
B,M,1,26,3,BJ,950.85,818,2276212.49
B,M,1,26,3,SH,149.268,153,238393.18
B,M,1,26,3,SZ,40.24,41,104244.7
B,M,1,26,3,TJ,26.727,30,53910.3
B,M,1,26,3,CQ,62.231,38,97263.43
B,M,1,27,3,BJ,1230.636,1019,2182685.27
B,M,1,27,3,SH,193.574,170,334434.95
B,M,1,27,3,SZ,58.393,70,96514.6
B,M,1,27,3,TJ,24.941,16,10742.93
B,M,1,27,3,CQ,107.158,81,144624.23
B,M,1,28,3,BJ,1414.172,1181,2450583.8
B,M,1,28,3,SH,242.262,208,294566.23
B,M,1,28,3,SZ,83.279,77,101303.2
B,M,1,28,3,TJ,26.184,15,22367.55
B,M,1,28,3,CQ,104.292,78,97788.03
B,M,1,29,3,BJ,1288.622,1131,2667565.43
B,M,1,29,3,SH,179.717,139,345818.65
B,M,1,29,3,SZ,82.387,96,219230.57
B,M,1,29,3,TJ,23.143,11,9469
B,M,1,29,3,CQ,105.667,83,244072.11
B,M,1,30,3,BJ,1315.306,1076,2557449.2
B,M,1,30,3,SH,175.473,132,182454.95
B,M,1,30,3,SZ,83.221,88,169423.95
B,M,1,30,3,TJ,25.735,19,13193.45
B,M,1,30,3,CQ,76.659,44,57876.85
B,M,1,31,4,BJ,1218.008,1022,2064372.3
B,M,1,31,4,SH,177.171,118,218787.48
B,M,1,31,4,SZ,86.217,94,236026.41
B,M,1,31,4,TJ,27.255,18,11522.6
B,M,1,31,4,CQ,97.19,70,161265.34
B,M,1,32,4,BJ,1201.788,1064,2252635.99
B,M,1,32,4,SH,177.658,136,192792.68
